Contract reference,Name,Province,Area,Primary Number,Collection name,House Hold Size,Registration Date
C361000011,A***,Lusaka,Mandevu,XXXX4238,C***,7,6/20/2025
C361020019,L***,Lusaka,Chipata Compound,XXXX2964,C***,7,6/20/2025
C361030018,C***,Lusaka,Matero,XXXX0551,A***,4,6/20/2025
C361390016,O***,Lusaka,Chilenje,XXXX3100,I***,3,6/4/2025
C361410012,O***,Lusaka,Chilenje,XXXX9643,I***,4,6/4/2025
C361450018,N***,Lusaka,Chilenje,XXXX3102,F***,5,6/4/2025
C361620016,L***,Lusaka,Chilenje,XXXX9379,E***,6,6/4/2025
C361640014,R***,Lusaka,Ngombe,XXXX0729,G***,4,6/13/2025
C361650013,R***,Lusaka,Ngombe,XXXX9542,J***,6,6/16/2025
C361710015,E***,Lusaka,Ngombe,XXXX0340,J***,3,6/16/2025
C361720014,B***,Lusaka,Ngombe,XXXX6655,J***,6,6/16/2025
C361770019,J***,Lusaka,Ngombe,XXXX0041,G***,4,6/18/2025
C361790017,I***,Lusaka,Ngombe,XXXX7450,J***,5,6/16/2025
C361800014,R***,Lusaka,Ngombe,XXXX0520,G***,4,6/13/2025
C361840010,G***,Lusaka,Ngombe,XXXX3476,J***,6,6/17/2025
C361860018,T***,Lusaka,Ngombe,XXXX6207,G***,9,6/13/2025
C361870017,M***,Lusaka,Ngombe,XXXX8773,G***,5,6/18/2025
C361880016,F***,Lusaka,Ngombe,XXXX1814,G***,11,6/18/2025
C361890015,S***,Lusaka,Ngombe,XXXX6702,J***,5,6/12/2025
C361910011,J***,Lusaka,Ngombe,XXXX8819,G***,6,6/12/2025
C362010019,S***,Lusaka,Ngombe,XXXX8139,B***,5,6/17/2025
C362130015,M***,Lusaka,Ngombe,XXXX0716,B***,4,6/17/2025
C362360018,B***,Lusaka,6 Miles,XXXX3798,J***,4,6/17/2025
C362370017,M***,Lusaka,6 Miles,XXXX5101,J***,8,6/17/2025
C362390015,C***,Lusaka,6 Miles,XXXX7726,J***,5,6/17/2025
C362410011,J***,Lusaka,6 Miles,XXXX0691,J***,6,6/17/2025
C362430019,N***,Lusaka,15 Miles,XXXX0034,B***,11,7/2/2025
C362440018,M***,Lusaka,6 Miles,XXXX0303,J***,6,6/17/2025
C362460016,M***,Lusaka,15 Miles,XXXX4004,P***,6,6/17/2025
C362490013,M***,Lusaka,6 Miles,XXXX5739,G***,2,6/17/2025
C362510018,T***,Lusaka,15 Miles,XXXX8090,S***,4,6/20/2025
C362560013,S***,Lusaka,15 Miles,XXXX8279,B***,7,6/17/2025
C362640013,A***,Lusaka,15 Miles,XXXX2655,B***,11,6/17/2025
C362690018,B***,Lusaka,15 Miles,XXXX1481,B***,9,6/17/2025
C362700015,E***,Lusaka,15 Miles,XXXX6389,B***,10,6/17/2025
C362730012,S***,Lusaka,6 Miles,XXXX4077,G***,5,6/17/2025
C362780017,J***,Lusaka,15 Miles,XXXX8944,B***,8,6/17/2025
C362940017,M***,Lusaka,15 Miles,XXXX4118,B***,9,6/17/2025
C363130014,S***,Lusaka,Mahopo,XXXX8878,S***,7,8/19/2025
C363240011,M***,Lusaka,Libala South,XXXX2454,I***,7,7/3/2025
C363320011,L***,Lusaka,Libala South,XXXX4263,I***,6,8/15/2025
C363350018,C***,Lusaka,Kabanana,XXXX6328,E***,6,6/9/2025
C363370016,D***,Lusaka,Kanyama,XXXX5934,D***,4,6/23/2025
C363400011,R***,Lusaka,Kanyama,XXXX3331,D***,2,6/19/2025
C363430018,P***,Lusaka,Kanyama,XXXX7490,D***,7,8/16/2025
C363450016,A***,Lusaka,Barlastone,XXXX0918,A***,8,6/19/2025
C363460015,C***,Lusaka,Barlastone,XXXX2597,A***,5,6/25/2025
C363470014,V***,Lusaka,Kanyama,XXXX6538,D***,2,6/19/2025
C363530015,F***,Lusaka,Garden Compound,XXXX3651,M***,5,6/12/2025
C363570011,M***,Lusaka,Garden House,XXXX6741,M***,5,6/12/2025
C363630013,P***,Lusaka,Kaunda Square,XXXX2596,J***,6,6/13/2025
C363670019,L***,Lusaka,Kaunda Square,XXXX7872,J***,8,6/13/2025
C363690017,E***,Lusaka,Garden Compound,XXXX1990,M***,6,6/12/2025
C363730011,J***,Lusaka,Kaunda Square Stage One,XXXX9240,J***,7,6/13/2025
C363760018,E***,Lusaka,Kaunda Square,XXXX7467,J***,8,6/13/2025
C363770017,S***,Lusaka,Garden Compound,XXXX5204,M***,5,6/12/2025
C363820010,V***,Lusaka,Ngwerere,XXXX0052,M***,10,7/21/2025
C364150011,P***,Lusaka,Kanyama,XXXX2369,D***,3,6/12/2025
C364160010,A***,Lusaka,Kanyama,XXXX6078,D***,8,6/12/2025
C364210013,S***,Lusaka,Makeni Villa,XXXX7945,D***,9,6/12/2025
C364220012,C***,Lusaka,Makeni Villa,XXXX3496,D***,3,6/12/2025
C364260018,B***,Lusaka,Kanyama,XXXX1487,D***,6,6/12/2025
C364380014,E***,Lusaka,Kaunda Square Stage One,XXXX5811,J***,7,6/13/2025
C364530014,E***,Lusaka,Kaunda Square Stage One,XXXX7382,J***,7,6/13/2025
C364630012,L***,Lusaka,Mahopo,XXXX4434,S***,6,6/18/2025
C364660019,H***,Lusaka,Mahopo,XXXX1261,S***,7,6/18/2025
C364720011,S***,Lusaka,Libala South,XXXX9693,L***,8,8/22/2025
C364750018,B***,Lusaka,Mahopo,XXXX4517,S***,5,6/18/2025
C364760017,R***,Lusaka,Mahopo,XXXX5386,S***,8,6/18/2025
C364780015,N***,Lusaka,Mahopo,XXXX3982,S***,8,6/24/2025
C364790014,G***,Lusaka,Kasupe,XXXX9449,A***,6,6/15/2025
C364800011,E***,Lusaka,Mahopo,XXXX4955,S***,5,7/14/2025
C364810010,F***,Lusaka,Kasupe,XXXX2150,A***,5,6/15/2025
C364840017,M***,Lusaka,Kasupe,XXXX1257,A***,5,6/15/2025
C364850016,P***,Lusaka,Kasupe,XXXX8630,A***,5,6/15/2025
C364860015,B***,Lusaka,Kasupe,XXXX8290,A***,7,6/15/2025
C364880013,C***,Lusaka,Meanwood Ndeke,XXXX6386,M***,6,7/4/2025
C364890012,R***,Lusaka,Kasupe,XXXX6759,A***,4,6/15/2025
C364920017,R***,Lusaka,Kasupe,XXXX4118,A***,2,6/15/2025
C364930016,E***,Lusaka,Kasupe,XXXX8306,J***,11,6/15/2025
C364940015,G***,Lusaka,Kasupe,XXXX3487,J***,7,6/15/2025
C365000017,A***,Lusaka,Mtendere,XXXX6539,A***,9,7/6/2025
C365010016,H***,Lusaka,Kasupe,XXXX7979,A***,7,6/15/2025
C365020015,R***,Lusaka,Kasupe,XXXX0433,A***,6,6/15/2025
C365030014,E***,Lusaka,Kasupe,XXXX9145,A***,4,6/15/2025
C365040013,P***,Lusaka,Helen Kaunda,XXXX0379,A***,6,6/15/2025
C365050012,B***,Lusaka,Mtendere Main,XXXX8264,A***,5,7/6/2025
C365140011,E***,Lusaka,Chilenje,XXXX8965,I***,5,9/1/2025
C365170018,M***,Lusaka,Zingalume,XXXX4446,A***,5,8/1/2025
C365260017,J***,Lusaka,Chilenje,XXXX5808,I***,6,7/11/2025
C365290014,L***,Lusaka,Chalala,XXXX1252,I***,9,7/4/2025
C365300011,J***,Lusaka,Chilenje,XXXX5305,L***,8,6/18/2025
C365390012,E***,Lusaka,Kamwala South,XXXX1927,L***,6,6/18/2025
C365410018,B***,Lusaka,Kamwala South,XXXX6928,G***,5,6/18/2025
C365420017,A***,Lusaka,Matero,XXXX6633,A***,2,7/22/2025
C365430016,B***,Lusaka,Kamwala South,XXXX7843,G***,5,6/18/2025
C365440015,N***,Lusaka,Kamwala South,XXXX8608,G***,6,6/18/2025
C365470012,R***,Lusaka,Kamwala South,XXXX7702,G***,3,6/18/2025
C365480011,S***,Lusaka,Kamwala South,XXXX8589,G***,7,6/18/2025
C365570019,A***,Lusaka,Ngombe,XXXX1168,G***,5,6/19/2025
C365610013,N***,Lusaka,Ngombe,XXXX1447,J***,6,6/18/2025
C365630011,Q***,Lusaka,Ngombe,XXXX6907,J***,5,6/18/2025
C365640010,A***,Lusaka,Ngombe,XXXX0547,G***,6,6/19/2025
C365650019,M***,Lusaka,Ngombe,XXXX3969,J***,8,6/18/2025
C365710011,V***,Lusaka,Ngombe,XXXX3615,S***,5,6/18/2025
C365730019,P***,Lusaka,Ngombe,XXXX4945,S***,5,6/18/2025
C365770015,B***,Lusaka,Ngombe,XXXX6445,S***,4,6/18/2025
C365780014,J***,Lusaka,Ngombe,XXXX9941,J***,11,6/18/2025
C365790013,E***,Lusaka,Ngombe,XXXX5009,J***,2,7/10/2025
C365800010,J***,Lusaka,Ngombe,XXXX8756,B***,5,6/19/2025
C365860014,M***,Lusaka,Mtendere,XXXX7386,A***,4,7/4/2025
C365880012,L***,Lusaka,Ngombe,XXXX2140,J***,6,6/18/2025
C365900018,J***,Lusaka,Ngombe,XXXX9505,J***,9,6/18/2025
C365920016,A***,Lusaka,Ngombe,XXXX7047,J***,5,6/18/2025
C365960012,Z***,Lusaka,Libala South,XXXX3493,A***,3,7/3/2025
C365970011,D***,Lusaka,Kabanana,XXXX1804,E***,8,6/24/2025
C365980010,A***,Lusaka,Kamulanga,XXXX9042,L***,4,6/19/2025
C365990019,E***,Lusaka,Jack Compound,XXXX8795,L***,5,6/19/2025
C366000016,R***,Lusaka,Jack Compound,XXXX3039,L***,9,6/19/2025
C366030013,M***,Lusaka,Jack Compound,XXXX3808,L***,4,6/19/2025
C366050011,H***,Lusaka,Jack Compound,XXXX3622,L***,6,6/19/2025
C366080018,B***,Lusaka,Kabanana,XXXX7778,E***,6,6/24/2025
C366150019,P***,Lusaka,Jack Compound,XXXX8288,L***,7,6/25/2025
C366160018,H***,Lusaka,Kaunda Square Stage One,XXXX9000,J***,6,6/23/2025
C366250017,I***,Lusaka,Kaunda Square Stage One,XXXX1068,J***,7,6/20/2025
C366270015,M***,Lusaka,kalundu,XXXX1290,J***,6,6/20/2025
C366280014,C***,Lusaka,Kaunda Square Stage One,XXXX2903,J***,6,6/20/2025
C366620011,L***,Lusaka,15 Miles,XXXX9847,I***,3,6/23/2025
C366660017,R***,Lusaka,15 Miles,XXXX7467,S***,5,6/23/2025
C366700011,M***,Lusaka,15 Miles,XXXX9824,B***,4,6/23/2025
C366720019,A***,Lusaka,15 Miles,XXXX1912,B***,5,6/23/2025
C366790012,T***,Lusaka,Kasupe,XXXX4470,A***,5,6/23/2025
C366850014,A***,Lusaka,Garden House,XXXX3464,K***,10,6/23/2025
C366870012,L***,Lusaka,Garden House,XXXX6483,K***,4,6/23/2025
C366890010,A***,Lusaka,Garden House,XXXX7629,K***,4,6/23/2025
C366900017,S***,Lusaka,Kasupe,XXXX0911,A***,6,6/23/2025
C366910016,M***,Lusaka,Garden House,XXXX2111,K***,5,6/23/2025
C366960011,J***,Lusaka,Garden House,XXXX4058,K***,4,6/23/2025
C366980019,A***,Lusaka,Kasupe,XXXX4519,A***,4,6/23/2025
C367010014,B***,Lusaka,Garden House,XXXX2279,K***,4,6/23/2025
C367030012,A***,Lusaka,Kasupe,XXXX8130,A***,7,6/23/2025
C367100013,S***,Lusaka,Garden House,XXXX0791,E***,6,6/23/2025
C367210010,E***,Lusaka,Zanimuone,XXXX3340,D***,9,6/25/2025
C367220019,D***,Lusaka,Zanimuone,XXXX6170,D***,6,6/25/2025
C367240017,J***,Lusaka,Zanimuone,XXXX0040,D***,4,6/25/2025
C367260015,J***,Lusaka,Zanimuone,XXXX9361,D***,7,6/25/2025
C367310018,B***,Lusaka,Zanimuone,XXXX5025,D***,7,6/25/2025
C367320017,S***,Lusaka,6 Miles,XXXX9770,L***,4,6/25/2025
C367340015,R***,Lusaka,Zanimuone,XXXX4687,D***,6,6/25/2025
C367380011,A***,Lusaka,Zanimuone,XXXX5422,D***,1,6/25/2025
C367420015,J***,Lusaka,6 Miles,XXXX0972,L***,9,6/25/2025
C367440013,J***,Lusaka,Zanimuone,XXXX8816,D***,3,6/25/2025
C367460011,M***,Lusaka,Zanimuone,XXXX4440,D***,5,6/25/2025
C367550019,M***,Lusaka,Chalala,XXXX3731,S***,7,6/25/2025
C367650017,M***,Lusaka,Kamwala South,XXXX3077,M***,5,6/25/2025
C367860012,M***,Lusaka,Kabanana,XXXX4060,E***,4,7/1/2025
C368040010,E***,Lusaka,Ngombe,XXXX0007,S***,6,6/27/2025
C368130019,B***,Lusaka,Ngombe,XXXX8960,G***,4,6/27/2025
C368280012,G***,Lusaka,Ngombe,XXXX2121,J***,9,7/3/2025
C368290011,W***,Lusaka,Ngombe,XXXX9304,J***,6,7/2/2025
C368320016,E***,Lusaka,Ngombe,XXXX7154,J***,1,7/2/2025
C368410015,E***,Lusaka,Ngombe,XXXX2696,B***,3,6/30/2025
C368430013,J***,Lusaka,Ngombe,XXXX1848,B***,6,6/30/2025
C368460010,G***,Lusaka,Ngombe,XXXX3305,B***,5,7/11/2025
C368490017,C***,Lusaka,Kasupe,XXXX3680,M***,6,7/11/2025
C368510012,J***,Lusaka,Kasupe,XXXX4822,M***,9,7/11/2025
C368540019,M***,Lusaka,Kasupe,XXXX3509,M***,4,7/11/2025
C368550018,M***,Lusaka,Kasupe,XXXX4778,M***,6,7/11/2025
C368560017,D***,Lusaka,Kasupe,XXXX5367,M***,6,7/11/2025
C368570016,H***,Lusaka,Kanyama,XXXX2961,D***,5,6/29/2025
C368580015,O***,Lusaka,Kasupe,XXXX8537,M***,3,7/11/2025
C368600011,V***,Lusaka,Kasupe,XXXX9827,M***,7,7/11/2025
C368620019,C***,Lusaka,Kasupe,XXXX9291,M***,2,7/11/2025
C368630018,I***,Lusaka,Kanyama,XXXX0734,D***,0,8/21/2025
C368640017,E***,Lusaka,Kasupe,XXXX5631,M***,4,7/11/2025
C368650016,M***,Lusaka,Kasupe,XXXX8766,M***,3,7/11/2025
C368660015,T***,Lusaka,Kasupe,XXXX0047,T***,7,7/11/2025
C368670014,A***,Lusaka,Kasupe,XXXX8186,T***,5,7/11/2025
C368690012,G***,Lusaka,Kasupe,XXXX6400,T***,7,7/11/2025
C368700019,R***,Lusaka,Kasupe,XXXX7131,M***,5,7/11/2025
C368710018,M***,Lusaka,Kasupe,XXXX8534,T***,3,7/11/2025
C368750014,T***,Lusaka,Kanyama,XXXX5893,D***,7,7/12/2025
C368770012,W***,Lusaka,Kabanana,XXXX4674,E***,4,7/1/2025
C368850012,M***,Lusaka,Kanyama,XXXX6661,D***,6,7/11/2025
C368950010,R***,Lusaka,Chipata Compound,XXXX8674,E***,9,7/2/2025
C368970018,F***,Lusaka,Kaunda Square Stage One,XXXX6688,J***,9,7/2/2025
C369050018,C***,Lusaka,Chipata Compound,XXXX4159,E***,7,7/2/2025
C369090014,N***,Lusaka,Chipata Compound,XXXX0964,E***,4,7/2/2025
C369110010,M***,Lusaka,Ibex Hill,XXXX2565,S***,4,7/2/2025
C369270012,M***,Lusaka,Mtendere,XXXX6477,A***,7,7/28/2025
C369330014,K***,Lusaka,Chalala,XXXX2545,I***,8,7/23/2025
C369340013,C***,Lusaka,Chilenje,XXXX9966,I***,5,7/3/2025
C369360011,B***,Lusaka,Chilenje,XXXX7799,I***,7,7/18/2025
C369380019,S***,Lusaka,6 Miles,XXXX4208,L***,3,7/11/2025
C369400015,M***,Lusaka,6 Miles,XXXX2506,L***,4,7/11/2025
C369410014,F***,Lusaka,6 Miles,XXXX6528,L***,7,7/11/2025
C369430012,P***,Lusaka,Kamwala,XXXX2627,I***,5,7/4/2025
C369470018,P***,Lusaka,Chilenje,XXXX7450,L***,5,7/18/2025
C369500012,L***,Lusaka,Chilenje,XXXX3718,L***,6,7/18/2025
C369520010,M***,Lusaka,Chilenje,XXXX0300,F***,6,7/18/2025
C369530019,N***,Lusaka,Woodlands,XXXX6669,L***,5,7/18/2025
C369550017,C***,Lusaka,6 Miles,XXXX2119,L***,4,7/11/2025
C369570015,B***,Lusaka,6 Miles,XXXX7076,L***,7,7/10/2025
C369580014,L***,Lusaka,Chilenje,XXXX5502,L***,4,7/18/2025
C369590013,P***,Lusaka,Libala South,XXXX7333,A***,4,7/23/2025
C369600010,M***,Lusaka,6 Miles,XXXX7011,L***,4,7/11/2025
C369610019,B***,Lusaka,Libala South,XXXX8497,A***,6,7/28/2025
C369650015,M***,Lusaka,Libala South,XXXX9662,A***,4,7/29/2025
C369660014,A***,Lusaka,Matero,XXXX8568,A***,5,7/21/2025
C369670013,G***,Lusaka,Kabanana,XXXX4611,E***,4,7/28/2025
C369710017,Z***,Lusaka,Kasupe,XXXX2688,A***,5,7/11/2025
C369720016,H***,Lusaka,Kasupe,XXXX2696,A***,1,7/11/2025
C369730015,T***,Lusaka,Kasupe,XXXX1286,A***,11,7/11/2025
C369760012,M***,Lusaka,Kasupe,XXXX9549,A***,4,7/11/2025
C369790019,Y***,Lusaka,Apollo,XXXX7977,M***,3,7/12/2025
C369810015,E***,Lusaka,Kasupe,XXXX3444,A***,3,7/11/2025
C369830013,M***,Lusaka,Apollo,XXXX8781,M***,7,7/12/2025
C369840012,E***,Lusaka,Kasupe,XXXX7768,A***,5,7/11/2025
C369860010,L***,Lusaka,Apollo,XXXX7499,M***,4,7/12/2025
C369870019,S***,Lusaka,Kasupe,XXXX4529,A***,7,7/11/2025
C369880018,E***,Lusaka,Kasupe,XXXX7214,A***,5,7/11/2025
C369900014,S***,Lusaka,Apollo,XXXX5801,M***,4,7/12/2025
C369930011,M***,Lusaka,Apollo,XXXX2127,M***,4,7/12/2025
C369940010,D***,Lusaka,Kasupe,XXXX8692,R***,6,7/11/2025
C369950019,E***,Lusaka,Kasupe,XXXX9713,J***,5,7/12/2025
C369960018,P***,Lusaka,Apollo,XXXX5266,M***,4,7/12/2025
C369970017,C***,Lusaka,Apollo,XXXX0039,M***,3,7/12/2025
C369980016,P***,Lusaka,Apollo,XXXX9570,M***,6,7/12/2025
C369990015,S***,Lusaka,Apollo,XXXX5400,M***,5,7/12/2025
C370030017,D***,Lusaka,Apollo,XXXX4600,M***,6,7/12/2025
C370040016,P***,Lusaka,Kasupe,XXXX6924,J***,5,7/11/2025
C370060014,A***,Lusaka,Kasupe,XXXX2839,J***,5,7/11/2025
C370070013,N***,Lusaka,Kasupe,XXXX0593,R***,5,7/11/2025
C370120016,B***,Lusaka,Ngombe,XXXX5983,S***,1,7/10/2025
C370150013,W***,Lusaka,Ngombe,XXXX8656,S***,3,7/10/2025
C370160012,C***,Lusaka,Ngombe,XXXX1929,S***,6,7/10/2025
C370180010,T***,Lusaka,Ngombe,XXXX4396,S***,5,7/10/2025
C370190019,M***,Lusaka,Ngombe,XXXX8867,B***,5,7/10/2025
C370200016,F***,Lusaka,Ngombe,XXXX6696,S***,7,7/10/2025
C370220014,J***,Lusaka,Ngombe,XXXX7118,S***,11,7/10/2025
C370230013,E***,Lusaka,Ngombe,XXXX2508,B***,7,7/10/2025
C370240012,A***,Lusaka,Ngombe,XXXX1076,B***,10,7/10/2025
C370250011,N***,Lusaka,Ngombe,XXXX8183,S***,6,7/11/2025
C370260010,A***,Lusaka,Ngombe,XXXX1371,S***,5,8/8/2025
C370290017,R***,Lusaka,Ngombe,XXXX3445,S***,4,7/10/2025
C370390015,L***,Lusaka,Ngombe,XXXX2931,G***,3,7/10/2025
C370400012,M***,Lusaka,Ngombe,XXXX6223,S***,4,7/10/2025
C370410011,D***,Lusaka,Ngombe,XXXX3733,G***,5,7/10/2025
C370420010,G***,Lusaka,Ngombe,XXXX7124,G***,6,7/10/2025
C370430019,B***,Lusaka,Ngombe,XXXX7876,G***,6,7/10/2025
C370470015,E***,Lusaka,Ngombe,XXXX5318,G***,3,7/10/2025
C370480014,P***,Lusaka,Kabanana,XXXX6833,E***,7,7/11/2025
C370540015,A***,Lusaka,Libala South,XXXX0727,I***,9,7/23/2025
C370570012,M***,Lusaka,Jack Compound,XXXX1158,M***,6,7/19/2025
C370600017,W***,Lusaka,Jack Compound,XXXX7682,M***,2,7/19/2025
C370610016,I***,Lusaka,Jack Compound,XXXX7607,M***,4,7/19/2025
C370700015,A***,Lusaka,Kanyama,XXXX8424,D***,4,7/11/2025
C370710014,H***,Lusaka,Kanyama,XXXX9246,D***,5,7/11/2025
C370800013,A***,Lusaka,Kanyama,XXXX5174,D***,6,7/11/2025
C370830010,M***,Lusaka,Matero,XXXX9360,A***,5,7/18/2025
C370840019,B***,Lusaka,Matero,XXXX9999,A***,9,7/18/2025
C370850018,C***,Lusaka,Matero,XXXX3043,A***,5,7/18/2025
C370870016,E***,Lusaka,Matero,XXXX0904,A***,6,7/18/2025
C370940017,A***,Lusaka,Chilenje,XXXX7858,L***,7,7/18/2025
C370960015,M***,Lusaka,Chilenje,XXXX5902,L***,5,7/18/2025
C370990012,G***,Lusaka,Chilenje,XXXX9232,I***,5,7/18/2025
C371090010,M***,Lusaka,15 Miles,XXXX7725,B***,5,7/19/2025
C371100017,L***,Lusaka,15 Miles,XXXX1552,P***,5,7/22/2025
C371130014,A***,Lusaka,15 Miles,XXXX9697,P***,5,7/22/2025
C371140013,J***,Lusaka,15 Miles,XXXX8466,B***,8,7/19/2025
C371150012,M***,Lusaka,15 Miles,XXXX3785,B***,11,7/19/2025
C371160011,E***,Lusaka,15 Miles,XXXX9315,B***,4,7/19/2025
C371170010,A***,Lusaka,15 Miles,XXXX4433,B***,6,7/22/2025
C371180019,M***,Lusaka,15 Miles,XXXX5033,B***,5,7/19/2025
C371200015,E***,Lusaka,15 Miles,XXXX7890,B***,4,7/19/2025
C371230012,S***,Lusaka,15 Miles,XXXX7608,P***,5,7/22/2025
C371240011,E***,Lusaka,15 Miles,XXXX6100,B***,5,7/19/2025
C371250010,M***,Lusaka,15 Miles,XXXX2165,B***,9,7/19/2025
C371260019,B***,Lusaka,Zanimuone,XXXX8849,D***,10,8/13/2025
C371280017,A***,Lusaka,15 Miles,XXXX4317,P***,7,7/22/2025
C371290016,M***,Lusaka,15 Miles,XXXX9134,B***,7,7/19/2025
C371300013,S***,Lusaka,Kaunda Square Stage One,XXXX1341,J***,7,7/21/2025
C371310012,E***,Lusaka,15 Miles,XXXX5812,B***,6,7/19/2025
C371320011,P***,Lusaka,15 Miles,XXXX9776,B***,7,7/19/2025
C371330010,L***,Lusaka,Matero,XXXX2557,A***,3,7/25/2025
C371410010,K***,Lusaka,Chaisa,XXXX8961,E***,5,7/18/2025
C371420019,O***,Lusaka,Chainda,XXXX2010,J***,6,7/18/2025
C371450016,A***,Lusaka,Chaisa,XXXX6137,E***,3,7/18/2025
C371460015,T***,Lusaka,Chipata Compound,XXXX4626,E***,7,7/18/2025
C371470014,N***,Lusaka,Chaisa,XXXX7966,E***,4,7/18/2025
C371480013,P***,Lusaka,Chaisa,XXXX1007,E***,7,7/18/2025
C371490012,R***,Lusaka,Chipata Compound,XXXX0231,E***,6,7/18/2025
C371510017,C***,Lusaka,Chipata Compound,XXXX9836,E***,4,7/18/2025
C371520016,B***,Lusaka,Chipata Compound,XXXX1182,M***,7,7/18/2025
C371530015,G***,Lusaka,Chipata Compound,XXXX8216,E***,7,7/18/2025
C371540014,L***,Lusaka,Chipata Compound,XXXX3921,E***,8,7/18/2025
C371550013,V***,Lusaka,Chipata Compound,XXXX3723,E***,10,7/18/2025
C371570011,B***,Lusaka,Chipata Compound,XXXX5150,E***,8,7/18/2025
C371590019,E***,Lusaka,Matero,XXXX7064,A***,8,7/25/2025
C371600016,M***,Lusaka,Mtendere,XXXX4736,J***,5,7/25/2025
C371620014,M***,Lusaka,Kasupe,XXXX1416,T***,6,7/19/2025
C371630013,M***,Lusaka,Kasupe,XXXX1241,T***,5,7/19/2025
C371640012,F***,Lusaka,Matero,XXXX6754,A***,5,8/18/2025
C371650011,M***,Lusaka,Kasupe,XXXX9724,T***,6,7/19/2025
C371660010,G***,Lusaka,Kasupe,XXXX7163,T***,6,7/19/2025
C371670019,A***,Lusaka,Kasupe,XXXX1667,T***,4,7/21/2025
C371680018,D***,Lusaka,Kasupe,XXXX7050,T***,5,7/21/2025
C371690017,S***,Lusaka,Kasupe,XXXX4820,T***,10,7/19/2025
C371700014,C***,Lusaka,Kasupe,XXXX1733,T***,4,7/19/2025
C371720012,A***,Lusaka,Kasupe,XXXX5139,T***,4,7/19/2025
C371730011,L***,Lusaka,Kasupe,XXXX9834,M***,6,7/19/2025
C371740010,J***,Lusaka,Kasupe,XXXX8655,M***,7,7/19/2025
C371750019,A***,Lusaka,Kasupe,XXXX1312,M***,5,7/22/2025
C371760018,V***,Lusaka,Kasupe,XXXX8887,M***,5,7/19/2025
C371790015,G***,Lusaka,Libala South,XXXX8636,J***,5,8/22/2025
C371820010,M***,Lusaka,Chazanga,XXXX5995,J***,6,7/18/2025
C371830019,E***,Lusaka,Chazanga,XXXX7350,L***,12,7/18/2025
C371840018,D***,Lusaka,Woodlands,XXXX4586,L***,6,7/18/2025
C371860016,S***,Lusaka,Chazanga,XXXX5575,J***,2,7/18/2025
C371880014,M***,Lusaka,Chilenje,XXXX4432,L***,5,7/18/2025
C371900010,J***,Lusaka,Chazanga,XXXX9201,J***,2,7/18/2025
C371910019,A***,Lusaka,Chilenje,XXXX1287,L***,7,7/18/2025
C371920018,G***,Lusaka,Chazanga,XXXX4388,J***,6,7/18/2025
C371940016,H***,Lusaka,Woodlands,XXXX9192,L***,7,7/18/2025
C371950015,M***,Lusaka,Chazanga,XXXX0023,J***,6,7/18/2025
C371960014,F***,Lusaka,Chazanga,XXXX2134,J***,8,7/18/2025
C371970013,M***,Lusaka,Chazanga,XXXX8534,J***,6,7/18/2025
C372040014,F***,Lusaka,Kaunda Square Stage One,XXXX5666,J***,6,7/22/2025
C372050013,G***,Lusaka,Chilanga,XXXX5658,M***,6,7/19/2025
C372060012,N***,Lusaka,Chilanga,XXXX3848,M***,6,7/19/2025
C372070011,J***,Lusaka,Chilanga,XXXX8523,M***,6,7/19/2025
C372080010,J***,Lusaka,Chilanga,XXXX5031,M***,5,7/19/2025
C372090019,P***,Lusaka,Chilanga,XXXX3862,G***,7,7/19/2025
C372110015,G***,Lusaka,Chilanga,XXXX8806,M***,9,7/19/2025
C372120014,H***,Lusaka,6 Miles,XXXX2700,L***,14,7/19/2025
C372130013,G***,Lusaka,Chilanga,XXXX2760,M***,5,7/19/2025
C372140012,L***,Lusaka,Chilanga,XXXX0856,M***,5,7/19/2025
C372150011,R***,Lusaka,6 Miles,XXXX6170,L***,8,7/19/2025
C372160010,E***,Lusaka,6 Miles,XXXX8436,L***,6,7/19/2025
C372170019,J***,Lusaka,Chilanga,XXXX0621,M***,6,7/19/2025
C372180018,C***,Lusaka,Chilanga,XXXX8860,M***,7,7/19/2025
C372190017,A***,Lusaka,6 Miles,XXXX8135,L***,5,7/19/2025
C372200014,M***,Lusaka,Chilanga,XXXX7242,G***,4,7/19/2025
C372210013,C***,Lusaka,6 Miles,XXXX0448,L***,4,7/19/2025
C372220012,L***,Lusaka,Chilanga,XXXX7952,M***,9,7/19/2025
C372230011,V***,Lusaka,6 Miles,XXXX6395,L***,5,7/19/2025
C372240010,M***,Lusaka,Chilanga,XXXX0427,M***,6,7/19/2025
C372250019,L***,Lusaka,6 Miles,XXXX2898,L***,6,7/19/2025
C372270017,B***,Lusaka,Kaunda Square Stage One,XXXX4644,J***,5,7/20/2025
C372290015,M***,Lusaka,Kaunda Square Stage One,XXXX5545,J***,2,7/20/2025
C372320010,N***,Lusaka,Kaunda Square Stage One,XXXX0563,J***,7,7/20/2025
C372360016,P***,Lusaka,Kaunda Square Stage One,XXXX2199,J***,8,7/21/2025
C372510016,V***,Lusaka,6 Miles,XXXX5162,L***,4,8/15/2025
C372530014,N***,Lusaka,6 Miles,XXXX7177,L***,5,8/15/2025
C372580019,A***,Lusaka,6 Miles,XXXX9651,L***,5,8/12/2025
